DATE,SOURCE,LATITUDE,LONGITUDE,ELEVATION,NAME,REPORT_TYPE,CALL_SIGN,QUALITY_CONTROL,WND,CIG,VIS,TMP,DEW,SLP,AW1,REM
06-09T18:00:00,4,56.4,12.95,140.0,"HALLANDSASEN, SW",FM-12,99999,V020,"230,1,N,0010,1","99999,9,9,N","999999,9,N,1","+0112,1","+0050,1","99999,9",,SYN042AAXX  09181 02602 45/// /2301 10112 20050;
06-09T21:00:00,4,56.4,12.95,140.0,"HALLANDSASEN, SW",FM-12,99999,V020,"230,1,N,0030,1","99999,9,9,N","999999,9,N,1","+0103,1","+0055,1","99999,9","60,1",SYN048AAXX  09211 02602 47/// /2303 10103 20055 760//;
06-10T00:00:00,4,56.4,12.95,140.0,"HALLANDSASEN, SW",FM-12,99999,V020,"230,1,N,0040,1","99999,9,9,N","999999,9,N,1","+0091,1","+0086,1","99999,9","60,1",SYN048AAXX  10001 02602 47/// /2304 10091 20086 760//;
06-10T03:00:00,4,56.4,12.95,140.0,"HALLANDSASEN, SW",FM-12,99999,V020,"230,1,N,0010,1","99999,9,9,N","999999,9,N,1","+0104,1","+0099,1","99999,9",,SYN042AAXX  10031 02602 45/// /2301 10104 20099;
06-10T06:00:00,4,56.4,12.95,140.0,"HALLANDSASEN, SW",FM-12,99999,V020,"360,1,N,0010,1","99999,9,9,N","999999,9,N,1","+0127,1","+0121,1","99999,9",,SYN042AAXX  10061 02602 45/// /3601 10127 20121;
06-10T09:00:00,4,56.4,12.95,140.0,"HALLANDSASEN, SW",FM-12,99999,V020,"180,1,N,0020,1","99999,9,9,N","999999,9,N,1","+0151,1","+0133,1","99999,9",,SYN042AAXX  10091 02602 45/// /1802 10151 20133;
06-10T12:00:00,4,56.4,12.95,140.0,"HALLANDSASEN, SW",FM-12,99999,V020,"180,1,N,0020,1","99999,9,9,N","999999,9,N,1","+0173,1","+0136,1","99999,9",,SYN042AAXX  10121 02602 45/// /1802 10173 20136;
06-10T15:00:00,4,56.4,12.95,140.0,"HALLANDSASEN, SW",FM-12,99999,V020,"320,1,N,0010,1","99999,9,9,N","999999,9,N,1","+0209,1","+0128,1","99999,9",,SYN042AAXX  10151 02602 45/// /3201 10209 20128;
06-10T18:00:00,4,56.4,12.95,140.0,"HALLANDSASEN, SW",FM-12,99999,V020,"360,1,N,0010,1","99999,9,9,N","999999,9,N,1","+0177,1","+0115,1","99999,9",,SYN042AAXX  10181 02602 45/// /3601 10177 20115;
06-10T21:00:00,4,56.4,12.95,140.0,"HALLANDSASEN, SW",FM-12,99999,V020,"999,9,C,0000,1","99999,9,9,N","999999,9,N,1","+0113,1","+0105,1","99999,9",,SYN042AAXX  10211 02602 45/// /0000 10113 20105;
